time,xau,paxg
2022-12-29T21:24:12,1816.79,1811.53
2022-12-29T21:24:24,1816.79,1811.53
2022-12-29T21:24:35,1816.79,1811.53
2022-12-29T21:24:46,1817.3,1811.53
2022-12-29T21:24:57,1817.3,1811.53
2022-12-29T21:25:08,1816.79,1811.53
2022-12-29T21:25:19,1817.3,1811.53
2022-12-29T21:25:30,1817.3,1811.53
2022-12-29T21:25:41,1817.3,1811.53
2022-12-29T21:25:52,1817.3,1811.53
2022-12-29T21:26:03,1817.3,1811.53
2022-12-29T21:26:15,1817.3,1811.53
2022-12-29T21:26:26,1817.3,1811.53
2022-12-29T21:26:37,1817.13,1811.53
2022-12-29T21:26:48,1817.13,1811.53
2022-12-29T21:26:59,1817.13,1811.53
2022-12-29T21:27:10,1817.13,1811.53
2022-12-29T21:27:22,1817.13,1811.53
2022-12-29T21:27:33,1817.13,1811.53
2022-12-29T21:27:44,1817.13,1811.53
2022-12-29T21:27:55,1817.13,1811.53
2022-12-29T21:29:23,1817.11,1811.12
2022-12-29T21:29:29,1817.11,1811.12
2022-12-29T21:29:40,1817.13,1811.12
2022-12-29T21:29:51,1817.11,1811.12
2022-12-29T21:30:02,1817.11,1811.12
2022-12-29T21:30:13,1817.13,1811.12
2022-12-29T21:30:24,1817.13,1811.12
2022-12-29T21:30:35,1817.13,1811.12
2022-12-29T21:30:46,1817.13,1811.12
2022-12-29T21:30:58,1817.13,1811.12
2022-12-29T21:31:09,1817.13,1811.12
2022-12-29T21:31:20,1817.13,1811.12
2022-12-29T21:31:32,1817.22,1811.12
2022-12-29T21:31:43,1817.13,1811.12
2022-12-29T21:31:54,1813.89,1811.12
2022-12-29T21:32:05,1817.22,1811.12
2022-12-29T21:32:16,1817.22,1811.12
2022-12-29T21:32:27,1817.22,1811.12
2022-12-29T21:32:38,1817.39,1811.12
2022-12-29T21:32:49,1817.9,1811.12
2022-12-29T21:33:01,1817.39,1811.12
2022-12-29T21:33:12,1817.39,1811.12
2022-12-29T21:33:23,1817.9,1811.12
2022-12-29T21:33:34,1817.9,1811.12
2022-12-29T21:33:45,1817.9,1811.12
2022-12-29T21:33:56,1817.39,1811.12
2022-12-29T21:34:07,1817.9,1811.12
2022-12-29T21:34:18,1818.12,1811.12
2022-12-29T21:34:29,1818.12,1811.12
2022-12-29T21:34:40,1817.9,1811.12
2022-12-29T21:34:51,1817.9,1811.12
2022-12-29T21:35:02,1818.12,1811.12
2022-12-29T21:35:13,1817.95,1811.45
2022-12-29T21:35:25,1818.12,1811.45
2022-12-29T21:35:36,1818.12,1811.45
2022-12-29T21:35:47,1817.95,1811.45
2022-12-29T21:35:59,1817.88,1811.45
2022-12-29T21:36:10,1817.88,1811.45
2022-12-29T21:36:21,1817.95,1811.45
2022-12-29T21:36:32,1817.88,1811.45
2022-12-29T21:36:43,1817.88,1811.45
2022-12-29T21:36:54,1817.88,1811.45
2022-12-29T21:37:05,1817.88,1811.45
2022-12-29T21:37:16,1817.88,1811.45
2022-12-29T21:37:28,1818.23,1811.45
2022-12-29T21:37:39,1817.88,1811.45
2022-12-29T21:37:50,1817.88,1811.45
2022-12-29T21:38:01,1818.23,1811.45
2022-12-29T21:38:12,1818.23,1811.45
2022-12-29T21:38:23,1817.83,1811.45
2022-12-29T21:38:34,1818.23,1811.45
2022-12-29T21:38:45,1818.23,1811.45
2022-12-29T21:38:56,1818.23,1811.45
2022-12-29T21:39:07,1817.83,1811.45
2022-12-29T21:39:19,1817.83,1811.45
2022-12-29T21:39:30,1817.83,1811.45
2022-12-29T21:39:41,1818.08,1811.45
2022-12-29T21:39:52,1818.08,1811.45
2022-12-29T21:40:03,1818.08,1811.33
2022-12-29T21:40:14,1818.08,1811.33
